Column0,Compound,myY,Fit,AbsResidual
65158,Be4Cr4Fe24,5.6131,5.507950920152666,0.10514907984733401
17487,Al1Cr2V1,7.2128,7.313281407785418,0.10048140778541814
10001,Ag10Rb2Se6,1.7782,1.7711259815692917,0.007074018430708318
245831,Sc1Sn2Tc1,6.4846,6.94909388151169,0.46449388151168947
173500,Ge1Sr2W1,4.4022,4.569257556056978,0.16705755605697803
242163,Rb4Te2,1.1764,1.2759747759819047,0.09957477598190478
54452,Ba4Mg8O32V8,1.075,1.662734075903894,0.587734075903894
126044,Co1Ru2Si1,8.684,8.47946517658234,0.20453482341766005
130849,Cr1Li1P2,7.3178,7.504013651371004,0.18621365137100376
139027,Cu1K6O8Si2,0.9999,0.7354501207351699,0.2644498792648301
20488,Al2Hf2Pt4,6.1873,6.3908485941410085,0.2035485941410089
196788,K1Pb1Sc1,2.6475,3.403339989995958,0.755839989995958
165011,Ga2Tc1Zr1,7.4778,7.8653273981094385,0.38752739810943826
245100,Sb2Se1Y1,6.3244,6.61831883196831,0.2939188319683099
19472,Al1Ga1Hg2,4.4272,4.9425766428470626,0.5153766428470625
198348,K1Sc2Tc1,4.217,4.43061029777527,0.2136102977752703
155967,F8H16O4,-4.478,-4.688348947405814,0.210348947405814
147124,Eu1Rb1S2,1.3414,1.0435727291345611,0.2978272708654388
114027,Cl9F6Rb6Sb3,0.2798,0.2124040951251998,0.06739590487480018
71745,Be1Ru1Te2,8.9529,8.957885943555834,0.004985943555833927
40415,Au1Br1Rh1,3.7898,4.536074981689455,0.7462749816894552
185889,In1Ir2Li1,7.0186,7.760183367490771,0.7415833674907706
100349,Ca2Ni1Te1,5.5271,5.754775306892397,0.22767530689239734
54134,Ba1Li1Os1,1.8119,2.1318659807443634,0.31996598074436333
205503,Li1Ni2P2,7.0005,6.7719198272705095,0.22858017272949027
245599,Sc1Se1Tc1,5.8823,6.4947947124481225,0.6124947124481226
30659,As1Br1O3,4.7021,4.848605060386659,0.14650506038665956
87488,Br2Co1O2Sr2,2.7701,2.2626310163497942,0.5074689836502055
186051,In1Ir2Se1,8.7159,8.777128235816958,0.06122823581695869
125034,Co1Pb2Tc1,7.9110000000000005,7.91193707714081,0.0009370771408097056
139835,Cu1Li1Pt2,5.3235,5.858057935047151,0.5345579350471512
74576,Bi1Br1Cu2,6.1383,6.5197330687522905,0.38143306875229044
132486,Cr1Os1Sr2,3.3774,4.02376579976082,0.6463657997608201
15017,Al2Ca1Ni1,6.1145,6.465722146987917,0.35122214698791776
162567,Ga1Pb2Rh1,7.2778,7.58612106189728,0.3083210618972796
72950,B1Fe1Se2,6.4514,6.676175576591493,0.22477557659149383
173724,Ge2Tc1Y1,7.5029,7.8200003322601335,0.3171003322601331
106300,Cd1Hg2P1,3.0288,3.235073643970491,0.20627364397049108
229491,Ni4Sn4Yb4,4.0617,4.158968555974962,0.09726855597496176
34235,As1Hf2In1,6.3468,6.797846360397341,0.45104636039734114
191620,Ir1Li2Sn1,5.0759,5.577927956008913,0.5020279560089129
81898,Bi1Ru1Se1,6.8541,7.406857719516756,0.5527577195167561
241176,Pt1Rh2Zn1,5.6794,6.115195661115648,0.43579566111564816
104087,Cd1Co1Ga1,3.7992,4.001791973924639,0.20259197392463868
190438,In1Si1Tl1,5.6231,6.142798061466219,0.5196980614662188
