,Compound
120647,Co1Ge1La1
120648,Co1Ge1La2
120649,Co1Ge1La2
120650,Co1Ge2La1
120651,Co1Ge2La1
120652,Co1Ge3La1
120653,Co1Ge3La1
120654,Co1Ge3La1
120655,Co2Ge1La1
120656,Co2Ge1La1
120657,Co2Ge2La1
120658,Co2Ge2La1
120659,Co2Ge2La2
120660,Co2Ge2La2
120661,Co2Ge4La2
120662,Co2Ge4La2
120663,Co1Ge1Li1
120664,Co1Ge1Li1
120665,Co1Ge1Li1
120666,Co1Ge1Li2
120667,Co1Ge1Li2
120668,Co1Ge2Li1
120669,Co1Ge2Li1
120670,Co2Ge1Li1
120671,Co2Ge1Li1
120672,Co2Ge1Li1
120673,Co2Ge1Li1
120674,Co6Ge6Li1
120675,Co6Ge6Li1
120676,Co6Ge6Li1
120677,Co8Ge26Lu6
120678,Co1Ge1Mg1
120679,Co1Ge1Mg1
120680,Co1Ge1Mg1
120681,Co1Ge1Mg2
120682,Co1Ge1Mg2
120683,Co1Ge2Mg1
120684,Co1Ge2Mg1
120685,Co2Ge1Mg1
120686,Co2Ge1Mg1
120687,Co2Ge2Mg2
120688,Co2Ge2Mg2
120689,Co6Ge6Mg1
120690,Co6Ge6Mg1
120691,Co6Ge6Mg1
120692,Co1Ge1Mn1
120693,Co1Ge1Mn1
120694,Co1Ge1Mn1
120695,Co1Ge1Mn2
120696,Co1Ge1Mn2
120697,Co1Ge1Mn2
120698,Co1Ge2Mn1
120699,Co1Ge2Mn1
120700,Co2Ge1Mn1
120701,Co2Ge1Mn1
120702,Co2Ge1Mn1
120703,Co2Ge1Mn1
120704,Co2Ge1Mn1
120705,Co2Ge1Mn1
120706,Co2Ge1Mn1
120707,Co2Ge1Mn1
120708,Co2Ge2Mn2
120709,Co2Ge2Mn2
120710,Co2Ge2Mn2
120711,Co2Ge2Mn2
120712,Co2Ge2Mn2
120713,Co2Ge2Mn2
120714,Co2Ge2Mn2
120715,Co2Ge6Mn4
120716,Co35Ge16Mn13
120717,Co35Ge16Mn13
120718,Co35Ge16Mn13
120719,Co35Ge16Mn13
120720,Co35Ge16Mn13
120721,Co4Ge2Mn6
120722,Co4Ge4Mn4
120723,Co4Ge4Mn4
120724,Co4Ge4Mn4
120725,Co4Ge4Mn4
120726,Co4Ge4Mn4
120727,Co4Ge4Mn4
120728,Co4Ge4Mn4
120729,Co4Ge6Mn2
120730,Co6Ge2Mn4
120731,Co6Ge4Mn2
120732,Co1Ge1Mo1
120733,Co1Ge1Mo1
120734,Co1Ge1Mo1
120735,Co1Ge1Mo2
120736,Co1Ge1Mo2
120737,Co1Ge2Mo1
120738,Co1Ge2Mo1
120739,Co2Ge1Mo1
120740,Co2Ge1Mo1
120741,Co1Ge1Na1
120742,Co1Ge1Na1
120743,Co1Ge1Na1
120744,Co1Ge1Na2
120745,Co1Ge1Na2
120746,Co1Ge2Na1
120747,Co1Ge2Na1
120748,Co2Ge1Na1
120749,Co2Ge1Na1
120750,Co2Ge2Na4O8
120751,Co16Ge7Nb6
120752,Co16Ge7Nb6
120753,Co1Ge1Nb1
120754,Co1Ge1Nb1
120755,Co1Ge1Nb1
120756,Co1Ge1Nb1
120757,Co1Ge1Nb2
120758,Co1Ge1Nb2
120759,Co1Ge2Nb1
120760,Co1Ge2Nb1
120761,Co2Ge1Nb1
120762,Co2Ge1Nb1
120763,Co4Ge4Nb4
120764,Co1Ge3Nd1
120765,Co1Ge3Nd1
120766,Co2Ge2Nd1
120767,Co2Ge2Nd1
120768,Co2Ge2Nd1
120769,Co2Ge2Nd1
120770,Co2Ge2Nd2
120771,Co2Ge4Nd2
120772,Co1Ge1Ni1
120773,Co1Ge1Ni1
120774,Co1Ge1Ni1
120775,Co1Ge1Ni2
120776,Co1Ge1Ni2
120777,Co1Ge2Ni1
120778,Co1Ge2Ni1
120779,Co2Ge1Ni1
120780,Co2Ge1Ni1
120781,Co4Ge4Ni24
120782,Co10Ge3O16
120783,Co10Ge3O16
120784,Co1Ge1O3
120785,Co1Ge1O3
120786,Co4Ge2O8
120787,Co4Ge2O8
120788,Co4Ge4O12
120789,Co4Ge4O12
120790,Co1Ge1Os1
120791,Co1Ge1Os1
120792,Co1Ge1Os1
120793,Co1Ge1Os2
120794,Co1Ge1Os2
120795,Co1Ge2Os1
120796,Co1Ge2Os1
120797,Co2Ge1Os1
120798,Co2Ge1Os1
120799,Co2Ge4O14Sr4
120800,Co2Ge4O14Sr4
120801,Co1Ge1P1
120802,Co1Ge1P1
120803,Co1Ge1P1
120804,Co1Ge1P2
120805,Co1Ge1P2
120806,Co1Ge2P1
120807,Co1Ge2P1
120808,Co2Ge1P1
120809,Co2Ge1P1
120810,Co1Ge1Pb1
120811,Co1Ge1Pb1
120812,Co1Ge1Pb1
120813,Co1Ge1Pb2
120814,Co1Ge1Pb2
120815,Co1Ge2Pb1
120816,Co1Ge2Pb1
120817,Co2Ge1Pb1
120818,Co2Ge1Pb1
120819,Co1Ge1Pd1
120820,Co1Ge1Pd1
120821,Co1Ge1Pd1
120822,Co1Ge1Pd2
120823,Co1Ge1Pd2
120824,Co1Ge2Pd1
120825,Co1Ge2Pd1
120826,Co2Ge1Pd1
120827,Co2Ge1Pd1
120828,Co1Ge3Pr1
120829,Co2Ge2Pr2
120830,Co2Ge4Pr2
120831,Co1Ge1Pt1
120832,Co1Ge1Pt1
120833,Co1Ge1Pt1
120834,Co1Ge1Pt2
120835,Co1Ge1Pt2
120836,Co1Ge2Pt1
120837,Co1Ge2Pt1
120838,Co2Ge1Pt1
120839,Co2Ge1Pt1
120840,Co1Ge1Re1
120841,Co1Ge1Re1
120842,Co1Ge1Re1
120843,Co1Ge1Re2
120844,Co1Ge1Re2
120845,Co1Ge2Re1
120846,Co1Ge2Re1
120847,Co2Ge1Re1
120848,Co2Ge1Re1
120849,Co1Ge1Rh1
120850,Co1Ge1Rh1
120851,Co1Ge1Rh1
120852,Co1Ge1Rh2
120853,Co1Ge1Rh2
120854,Co1Ge2Rh1
120855,Co1Ge2Rh1
120856,Co2Ge1Rh1
120857,Co2Ge1Rh1
120858,Co1Ge1Ru1
120859,Co1Ge1Ru1
120860,Co1Ge1Ru1
120861,Co1Ge1Ru2
120862,Co1Ge1Ru2
120863,Co1Ge2Ru1
120864,Co1Ge2Ru1
120865,Co2Ge1Ru1
120866,Co2Ge1Ru1
120867,Co1Ge1Sb1
120868,Co1Ge1Sb1
120869,Co1Ge1Sb1
120870,Co1Ge1Sb2
120871,Co1Ge1Sb2
120872,Co1Ge2Sb1
120873,Co1Ge2Sb1
120874,Co2Ge1Sb1
120875,Co2Ge1Sb1
120876,Co12Ge24Sc12
120877,Co12Ge24Sc12
120878,Co12Ge24Sc12
120879,Co1Ge1Sc1
120880,Co1Ge1Sc1
120881,Co1Ge1Sc1
120882,Co1Ge1Sc2
120883,Co1Ge1Sc2
120884,Co1Ge2Sc1
120885,Co1Ge2Sc1
120886,Co2Ge1Sc1
120887,Co2Ge1Sc1
120888,Co4Ge4Sc4
120889,Co4Ge4Sc4
120890,Co4Ge6Sc6
120891,Co6Ge6Sc1
120892,Co6Ge6Sc1
120893,Co7Ge6Sc4
120894,Co8Ge14Sc8
120895,Co1Ge1Se1
120896,Co1Ge1Se1
120897,Co1Ge1Se1
120898,Co1Ge1Se2
120899,Co1Ge1Se2
120900,Co1Ge2Se1
120901,Co1Ge2Se1
120902,Co2Ge1Se1
120903,Co2Ge1Se1
120904,Co1Ge1Si1
120905,Co1Ge1Si1
120906,Co1Ge1Si1
120907,Co1Ge1Si2
120908,Co1Ge1Si2
120909,Co1Ge2Si1
120910,Co1Ge2Si1
120911,Co2Ge1Si1
120912,Co2Ge1Si1
120913,Co1Ge1Sn1
120914,Co1Ge1Sn1
120915,Co1Ge1Sn1
120916,Co1Ge1Sn2
120917,Co1Ge1Sn2
120918,Co1Ge2Sn1
120919,Co1Ge2Sn1
120920,Co2Ge1Sn1
120921,Co2Ge1Sn1
120922,Co1Ge1Sr1
120923,Co1Ge1Sr1
120924,Co1Ge1Sr1
120925,Co1Ge1Sr2
120926,Co1Ge1Sr2
120927,Co1Ge2Sr1
120928,Co1Ge2Sr1
120929,Co2Ge1Sr1
120930,Co2Ge1Sr1
120931,Co2Ge2Sr1
120932,Co2Ge2Sr1
120933,Co16Ge7Ta6
120934,Co1Ge1Ta1
120935,Co1Ge1Ta1
120936,Co1Ge1Ta1
120937,Co1Ge1Ta1
120938,Co1Ge1Ta2
120939,Co1Ge1Ta2
120940,Co1Ge2Ta1
120941,Co1Ge2Ta1
120942,Co2Ge1Ta1
120943,Co2Ge1Ta1
120944,Co4Ge4Ta4
120945,Co2Ge2Tb1
120946,Co2Ge2Tb1
120947,Co2Ge2Tb1
120948,Co2Ge2Tb1
120949,Co2Ge4Tb2
120950,Co2Ge4Tb3
120951,Co2Ge4Tb4
120952,Co4Ge4Tb4
120953,Co4Ge4Tb4
120954,Co4Ge4Tb4
120955,Co6Ge6Tb1
120956,Co8Ge26Tb6
120957,Co1Ge1Tc1
120958,Co1Ge1Tc1
120959,Co1Ge1Tc1
120960,Co1Ge1Tc2
120961,Co1Ge1Tc2
120962,Co1Ge2Tc1
120963,Co1Ge2Tc1
120964,Co2Ge1Tc1
120965,Co2Ge1Tc1
120966,Co1Ge1Te1
120967,Co1Ge1Te1
120968,Co1Ge1Te1
120969,Co1Ge1Te2
120970,Co1Ge1Te2
120971,Co1Ge2Te1
120972,Co1Ge2Te1
120973,Co2Ge1Te1
120974,Co2Ge1Te1
120975,Co8Ge8Te8
120976,Co8Ge8Te8
120977,Co8Ge8Te8
120978,Co8Ge8Te8
120979,Co2Ge2Th1
120980,Co1Ge1Ti1
120981,Co1Ge1Ti1
120982,Co1Ge1Ti1
120983,Co1Ge1Ti2
120984,Co1Ge1Ti2
120985,Co1Ge1Ti2
120986,Co1Ge2Ti1
120987,Co1Ge2Ti1
120988,Co2Ge1Ti1
120989,Co2Ge1Ti1
120990,Co2Ge1Ti1
120991,Co2Ge1Ti1
120992,Co2Ge1Ti1
120993,Co2Ge1Ti1
120994,Co2Ge1Ti1
120995,Co2Ge1Ti1
120996,Co3Ge3Ti3
120997,Co3Ge3Ti3
120998,Co3Ge3Ti3
120999,Co6Ge6Ti1
121000,Co7Ge6Ti4
121001,Co1Ge1Tl1
121002,Co1Ge1Tl1
121003,Co1Ge1Tl1
121004,Co1Ge1Tl2
121005,Co1Ge1Tl2
121006,Co1Ge2Tl1
121007,Co1Ge2Tl1
121008,Co2Ge1Tl1
121009,Co2Ge1Tl1
121010,Co2Ge2U1
121011,Co2Ge2U1
121012,Co2Ge2U1
121013,Co4Ge4U2
121014,Co1Ge1V1
121015,Co1Ge1V1
121016,Co1Ge1V1
121017,Co1Ge1V1
121018,Co1Ge1V2
121019,Co1Ge1V2
121020,Co1Ge2V1
121021,Co1Ge2V1
121022,Co2Ge1V1
121023,Co2Ge1V1
121024,Co4Ge4V4
121025,Co1Ge1W1
121026,Co1Ge1W1
121027,Co1Ge1W1
121028,Co1Ge1W2
121029,Co1Ge1W2
121030,Co1Ge2W1
121031,Co1Ge2W1
121032,Co2Ge1W1
121033,Co2Ge1W1
121034,Co1Ge1Y1
121035,Co1Ge1Y1
121036,Co1Ge1Y1
121037,Co1Ge1Y2
121038,Co1Ge1Y2
121039,Co1Ge2Y1
121040,Co1Ge2Y1
121041,Co2Ge1Y1
121042,Co2Ge1Y1
121043,Co2Ge2Y1
121044,Co2Ge2Y1
121045,Co2Ge2Y1
121046,Co2Ge4Y2
121047,Co2Ge4Y2
121048,Co2Ge4Y2
121049,Co2Ge4Y3
121050,Co4Ge4Y4
121051,Co8Ge26Y6
121052,Co2Ge2Yb1
121053,Co2Ge4Yb2
121054,Co8Ge26Yb6
121055,Co1Ge1Zn1
121056,Co1Ge1Zn1
121057,Co1Ge1Zn1
121058,Co1Ge1Zn2
121059,Co1Ge1Zn2
121060,Co1Ge2Zn1
121061,Co1Ge2Zn1
121062,Co2Ge1Zn1
121063,Co2Ge1Zn1
121064,Co2Ge1Zn1
121065,Co2Ge1Zn1
121066,Co16Ge7Zr6
121067,Co16Ge7Zr6
121068,Co1Ge1Zr1
121069,Co1Ge1Zr1
121070,Co1Ge1Zr1
121071,Co1Ge1Zr2
121072,Co1Ge1Zr2
121073,Co1Ge2Zr1
121074,Co1Ge2Zr1
121075,Co2Ge1Zr1
121076,Co2Ge1Zr1
121077,Co4Ge4Zr4
121078,Co6Ge6Zr1
121079,Co6Ge6Zr1
121080,Co6Ge6Zr1
121081,Co7Ge6Zr4
121082,Co7Ge6Zr4
121083,Co7Ge6Zr4
121084,Co8Ge14Zr8
121085,Co1Hf1Hg1
121086,Co1Hf1Hg1
121087,Co1Hf1Hg1
121088,Co1Hf1Hg2
121089,Co1Hf1Hg2
121090,Co1Hf2Hg1
121091,Co1Hf2Hg1
121092,Co24Hf4Hg4
121093,Co2Hf1Hg1
121094,Co2Hf1Hg1
121095,Co1Hf1In1
121096,Co1Hf1In1
121097,Co1Hf1In1
121098,Co1Hf1In2
121099,Co1Hf1In2
121100,Co1Hf2In1
121101,Co1Hf2In1
121102,Co24Hf4In4
121103,Co2Hf1In1
121104,Co2Hf1In1
121105,Co1Hf1Ir1
121106,Co1Hf1Ir1
121107,Co1Hf1Ir1
121108,Co1Hf1Ir2
121109,Co1Hf1Ir2
121110,Co1Hf2Ir1
121111,Co1Hf2Ir1
121112,Co24Hf4Ir4
121113,Co2Hf1Ir1
121114,Co2Hf1Ir1
121115,Co1Hf1Mg1
121116,Co1Hf1Mg1
121117,Co1Hf1Mg1
121118,Co1Hf1Mg2
121119,Co1Hf1Mg2
121120,Co1Hf2Mg1
121121,Co1Hf2Mg1
121122,Co24Hf4Mg4
121123,Co2Hf1Mg1
121124,Co2Hf1Mg1
121125,Co1Hf1Mn1
121126,Co1Hf1Mn1
121127,Co1Hf1Mn1
121128,Co1Hf1Mn2
121129,Co1Hf1Mn2
121130,Co1Hf2Mn1
121131,Co1Hf2Mn1
121132,Co24Hf4Mn4
121133,Co2Hf1Mn1
121134,Co2Hf1Mn1
121135,Co18Hf2Mo8
121136,Co18Hf8Mo2
121137,Co1Hf1Mo1
121138,Co1Hf1Mo1
121139,Co1Hf1Mo1
121140,Co1Hf1Mo2
121141,Co1Hf1Mo2
121142,Co1Hf2Mo1
121143,Co1Hf2Mo1
121144,Co24Hf4Mo4
121145,Co2Hf18Mo8
121146,Co2Hf18Mo8
121147,Co2Hf1Mo1
121148,Co2Hf1Mo1
121149,Co2Hf8Mo18
121150,Co8Hf18Mo2
121151,Co8Hf2Mo18
121152,Co1Hf1Ni1
121153,Co1Hf1Ni1
121154,Co1Hf1Ni1
121155,Co1Hf1Ni2
121156,Co1Hf1Ni2
121157,Co1Hf2Ni1
121158,Co1Hf2Ni1
121159,Co24Hf4Ni4
121160,Co2Hf1Ni1
121161,Co2Hf1Ni1
121162,Co1Hf1O3
121163,Co1Hf1O3
121164,Co1Hf1Os1
121165,Co1Hf1Os1
121166,Co1Hf1Os1
121167,Co1Hf1Os2
121168,Co1Hf1Os2
121169,Co1Hf2Os1
121170,Co1Hf2Os1
121171,Co24Hf4Os4
121172,Co2Hf1Os1
121173,Co2Hf1Os1
121174,Co12Hf4P20
121175,Co16Hf8P12
121176,Co16Hf8P12
121177,Co1Hf1P1
121178,Co1Hf1P1
121179,Co1Hf1P1
121180,Co1Hf1P2
121181,Co1Hf1P2
121182,Co1Hf2P1
121183,Co1Hf2P1
121184,Co1Hf2P6
121185,Co2Hf1P1
121186,Co2Hf1P1
121187,Co2Hf1P6
121188,Co2Hf4P2
121189,Co2Hf4P2
121190,Co2Hf8P2
121191,Co3Hf3P3
121192,Co3Hf3P3
121193,Co4Hf4P4
121194,Co4Hf4P4
121195,Co6Hf6P6
121196,Co6Hf6P6
121197,Co1Hf1Pb1
121198,Co1Hf1Pb1
121199,Co1Hf1Pb1
121200,Co1Hf1Pb2
121201,Co1Hf1Pb2
121202,Co1Hf2Pb1
121203,Co1Hf2Pb1
121204,Co2Hf1Pb1
121205,Co2Hf1Pb1
121206,Co1Hf1Pd1
121207,Co1Hf1Pd1
121208,Co1Hf1Pd1
121209,Co1Hf1Pd2
121210,Co1Hf1Pd2
121211,Co1Hf2Pd1
121212,Co1Hf2Pd1
121213,Co24Hf4Pd4
121214,Co2Hf1Pd1
121215,Co2Hf1Pd1
121216,Co1Hf1Pt1
121217,Co1Hf1Pt1
121218,Co1Hf1Pt1
121219,Co1Hf1Pt2
121220,Co1Hf1Pt2
121221,Co1Hf2Pt1
121222,Co1Hf2Pt1
121223,Co24Hf4Pt4
121224,Co2Hf1Pt1
121225,Co2Hf1Pt1
121226,Co18Hf2Re8
121227,Co18Hf8Re2
121228,Co1Hf1Re1
121229,Co1Hf1Re1
121230,Co1Hf1Re1
121231,Co1Hf1Re2
121232,Co1Hf1Re2
121233,Co1Hf2Re1
121234,Co1Hf2Re1
121235,Co24Hf4Re4
121236,Co2Hf18Re8
121237,Co2Hf18Re8
121238,Co2Hf1Re1
121239,Co2Hf1Re1
121240,Co2Hf8Re18
121241,Co8Hf18Re2
121242,Co8Hf2Re18
121243,Co1Hf1Rh1
121244,Co1Hf1Rh1
121245,Co1Hf1Rh1
121246,Co1Hf1Rh2
121247,Co1Hf1Rh2
121248,Co1Hf2Rh1
121249,Co1Hf2Rh1
121250,Co24Hf4Rh4
121251,Co2Hf1Rh1
121252,Co2Hf1Rh1
121253,Co1Hf1Ru1
121254,Co1Hf1Ru1
121255,Co1Hf1Ru1
121256,Co1Hf1Ru2
121257,Co1Hf1Ru2
121258,Co1Hf2Ru1
121259,Co1Hf2Ru1
121260,Co24Hf4Ru4
121261,Co2Hf1Ru1
121262,Co2Hf1Ru1
121263,Co1Hf1Sb1
121264,Co1Hf1Sb1
121265,Co1Hf1Sb1
121266,Co1Hf1Sb1
121267,Co1Hf1Sb1
121268,Co1Hf1Sb1
121269,Co1Hf1Sb1
121270,Co1Hf1Sb1
121271,Co1Hf1Sb1
121272,Co1Hf1Sb2
121273,Co1Hf1Sb2
121274,Co1Hf2Sb1
121275,Co1Hf2Sb1
121276,Co24Hf4Sb4
121277,Co2Hf1Sb1
121278,Co2Hf1Sb1
121279,Co1Hf1Sc1
121280,Co1Hf1Sc1
121281,Co1Hf1Sc1
121282,Co1Hf1Sc2
121283,Co1Hf1Sc2
121284,Co1Hf2Sc1
121285,Co1Hf2Sc1
121286,Co24Hf4Sc4
121287,Co2Hf1Sc1
121288,Co2Hf1Sc1
121289,Co1Hf1Se1
121290,Co1Hf1Se1
121291,Co1Hf1Se1
121292,Co1Hf1Se2
121293,Co1Hf1Se2
121294,Co1Hf2Se1
121295,Co1Hf2Se1
121296,Co2Hf1Se1
121297,Co2Hf1Se1
121298,Co12Hf16Si8
121299,Co12Hf8Si16
121300,Co12Hf8Si16
121301,Co16Hf12Si8
121302,Co16Hf6Si7
121303,Co16Hf6Si7
121304,Co16Hf6Si7
121305,Co16Hf7Si6
121306,Co16Hf8Si12
121307,Co1Hf1Si1
121308,Co1Hf1Si1
121309,Co1Hf1Si1
121310,Co1Hf1Si2
121311,Co1Hf1Si2
121312,Co1Hf2Si1
121313,Co1Hf2Si1
121314,Co1Hf2Si2
121315,Co1Hf2Si2
121316,Co24Hf4Si4
121317,Co2Hf1Si1
121318,Co2Hf1Si1
121319,Co2Hf1Si2
121320,Co2Hf1Si2
121321,Co2Hf1Si2
121322,Co2Hf2Si1
121323,Co2Hf2Si1
121324,Co4Hf4Si4
121325,Co4Hf4Si4
121326,Co4Hf4Si4
121327,Co4Hf4Si4
121328,Co4Hf4Si4
121329,Co4Hf4Si4
121330,Co4Hf4Si4
121331,Co4Hf6Si6
121332,Co4Hf6Si6
121333,Co4Hf6Si6
121334,Co6Hf16Si7
121335,Co6Hf4Si6
121336,Co6Hf4Si6
121337,Co6Hf6Si4
121338,Co6Hf6Si4
121339,Co6Hf7Si16
121340,Co7Hf16Si6
121341,Co7Hf6Si16
121342,Co8Hf12Si16
121343,Co8Hf16Si12
121344,Co1Hf1Sn1
121345,Co1Hf1Sn1
121346,Co1Hf1Sn1
121347,Co1Hf1Sn2
121348,Co1Hf1Sn2
121349,Co1Hf1Sn2
121350,Co1Hf1Sn2
121351,Co1Hf2Sn1
121352,Co1Hf2Sn1
121353,Co1Hf2Sn1
121354,Co1Hf2Sn1
121355,Co24Hf4Sn4
121356,Co2Hf1Sn1
121357,Co2Hf1Sn1
121358,Co2Hf1Sn1
121359,Co2Hf1Sn1
121360,Co2Hf1Sn1
121361,Co2Hf1Sn1
121362,Co2Hf1Sn1
121363,Co2Hf1Sn1
121364,Co2Hf1Sn1
121365,Co3Hf3Sn3
121366,Co3Hf3Sn3
121367,Co3Hf3Sn3
121368,Co3Hf3Sn3
121369,Co3Hf3Sn3
121370,Co3Hf3Sn3
121371,Co3Hf3Sn3
121372,Co6Hf6Sn6
121373,Co6Hf6Sn6
121374,Co6Hf6Sn6
121375,Co6Hf6Sn6
121376,Co6Hf6Sn6
121377,Co6Hf6Sn6
121378,Co6Hf6Sn6
121379,Co1Hf1Tc1
121380,Co1Hf1Tc1
121381,Co1Hf1Tc1
121382,Co1Hf1Tc2
121383,Co1Hf1Tc2
121384,Co1Hf2Tc1
121385,Co1Hf2Tc1
121386,Co24Hf4Tc4
121387,Co2Hf1Tc1
121388,Co2Hf1Tc1
121389,Co1Hf1Te1
121390,Co1Hf1Te1
121391,Co1Hf1Te1
121392,Co1Hf1Te2
121393,Co1Hf1Te2
121394,Co1Hf2Te1
121395,Co1Hf2Te1
121396,Co2Hf1Te1
121397,Co2Hf1Te1
121398,Co1Hf1Tl1
121399,Co1Hf1Tl1
121400,Co1Hf1Tl1
121401,Co1Hf1Tl2
121402,Co1Hf1Tl2
121403,Co1Hf2Tl1
121404,Co1Hf2Tl1
121405,Co24Hf4Tl4
121406,Co2Hf1Tl1
121407,Co2Hf1Tl1
121408,Co1Hf1V1
121409,Co1Hf1V1
121410,Co1Hf1V1
121411,Co1Hf1V2
121412,Co1Hf1V2
121413,Co1Hf2V1
121414,Co1Hf2V1
121415,Co24Hf4V4
121416,Co2Hf1V1
121417,Co2Hf1V1
121418,Co18Hf2W8
121419,Co18Hf8W2
121420,Co1Hf1W1
121421,Co1Hf1W1
121422,Co1Hf1W1
121423,Co1Hf1W2
121424,Co1Hf1W2
121425,Co1Hf2W1
121426,Co1Hf2W1
121427,Co24Hf4W4
121428,Co2Hf18W8
121429,Co2Hf18W8
121430,Co2Hf1W1
121431,Co2Hf1W1
121432,Co2Hf8W18
121433,Co8Hf18W2
121434,Co8Hf2W18
121435,Co1Hf1Zn1
121436,Co1Hf1Zn1
121437,Co1Hf1Zn1
121438,Co1Hf1Zn2
121439,Co1Hf1Zn2
121440,Co1Hf2Zn1
121441,Co1Hf2Zn1
121442,Co24Hf4Zn4
121443,Co2Hf1Zn1
121444,Co2Hf1Zn1
121445,Co1Hf1Zr1
121446,Co1Hf1Zr1
121447,Co1Hf1Zr1
121448,Co1Hf1Zr2
121449,Co1Hf1Zr2
121450,Co1Hf2Zr1
121451,Co1Hf2Zr1
121452,Co24Hf4Zr4
121453,Co2Hf1Zr1
121454,Co2Hf1Zr1
121455,Co1Hg1In1
121456,Co1Hg1In1
121457,Co1Hg1In1
121458,Co1Hg1In2
121459,Co1Hg1In2
121460,Co1Hg2In1
121461,Co1Hg2In1
121462,Co24Hg4In4
121463,Co2Hg1In1
121464,Co2Hg1In1
121465,Co1Hg1Ir1
121466,Co1Hg1Ir1
121467,Co1Hg1Ir1
121468,Co1Hg1Ir2
121469,Co1Hg1Ir2
121470,Co1Hg2Ir1
121471,Co1Hg2Ir1
121472,Co24Hg4Ir4
121473,Co2Hg1Ir1
121474,Co2Hg1Ir1
121475,Co1Hg1K1
121476,Co1Hg1K1
121477,Co1Hg1K1
121478,Co1Hg1K2
121479,Co1Hg1K2
121480,Co1Hg2K1
121481,Co1Hg2K1
121482,Co2Hg1K1
121483,Co2Hg1K1
121484,Co1Hg1La1
121485,Co1Hg1La1
121486,Co1Hg1La1
121487,Co1Hg1La2
121488,Co1Hg1La2
121489,Co1Hg2La1
121490,Co1Hg2La1
121491,Co2Hg1La1
121492,Co2Hg1La1
121493,Co1Hg1Li1
121494,Co1Hg1Li1
121495,Co1Hg1Li1
121496,Co1Hg1Li2
121497,Co1Hg1Li2
121498,Co1Hg2Li1
121499,Co1Hg2Li1
121500,Co24Hg4Li4
121501,Co2Hg1Li1
121502,Co2Hg1Li1
121503,Co1Hg1Mg1
121504,Co1Hg1Mg1
121505,Co1Hg1Mg1
121506,Co1Hg1Mg2
121507,Co1Hg1Mg2
121508,Co1Hg2Mg1
121509,Co1Hg2Mg1
121510,Co24Hg4Mg4
121511,Co2Hg1Mg1
121512,Co2Hg1Mg1
121513,Co1Hg1Mn1
121514,Co1Hg1Mn1
121515,Co1Hg1Mn1
121516,Co1Hg1Mn2
121517,Co1Hg1Mn2
121518,Co1Hg2Mn1
121519,Co1Hg2Mn1
121520,Co24Hg4Mn4
121521,Co2Hg1Mn1
121522,Co2Hg1Mn1
121523,Co1Hg1Mo1
121524,Co1Hg1Mo1
121525,Co1Hg1Mo1
121526,Co1Hg1Mo2
121527,Co1Hg1Mo2
121528,Co1Hg2Mo1
121529,Co1Hg2Mo1
121530,Co24Hg4Mo4
121531,Co2Hg1Mo1
121532,Co2Hg1Mo1
121533,Co1Hg1Na1
121534,Co1Hg1Na1
121535,Co1Hg1Na1
121536,Co1Hg1Na2
121537,Co1Hg1Na2
121538,Co1Hg2Na1
121539,Co1Hg2Na1
121540,Co2Hg1Na1
121541,Co2Hg1Na1
121542,Co1Hg1Nb1
121543,Co1Hg1Nb1
121544,Co1Hg1Nb1
121545,Co1Hg1Nb2
121546,Co1Hg1Nb2
121547,Co1Hg2Nb1
121548,Co1Hg2Nb1
121549,Co24Hg4Nb4
121550,Co2Hg1Nb1
121551,Co2Hg1Nb1
121552,Co1Hg1Ni1
121553,Co1Hg1Ni1
121554,Co1Hg1Ni1
121555,Co1Hg1Ni2
121556,Co1Hg1Ni2
121557,Co1Hg2Ni1
121558,Co1Hg2Ni1
121559,Co24Hg4Ni4
121560,Co2Hg1Ni1
121561,Co2Hg1Ni1
121562,Co1Hg1O3
121563,Co1Hg1O3
121564,Co1Hg1Os1
121565,Co1Hg1Os1
121566,Co1Hg1Os1
121567,Co1Hg1Os2
121568,Co1Hg1Os2
121569,Co1Hg2Os1
121570,Co1Hg2Os1
121571,Co24Hg4Os4
121572,Co2Hg1Os1
121573,Co2Hg1Os1
121574,Co1Hg1P1
121575,Co1Hg1P1
121576,Co1Hg1P1
121577,Co1Hg1P2
121578,Co1Hg1P2
121579,Co1Hg2P1
121580,Co1Hg2P1
121581,Co2Hg1P1
121582,Co2Hg1P1
121583,Co1Hg1Pb1
121584,Co1Hg1Pb1
121585,Co1Hg1Pb1
121586,Co1Hg1Pb2
121587,Co1Hg1Pb2
121588,Co1Hg2Pb1
121589,Co1Hg2Pb1
121590,Co2Hg1Pb1
121591,Co2Hg1Pb1
121592,Co1Hg1Pd1
121593,Co1Hg1Pd1
121594,Co1Hg1Pd1
121595,Co1Hg1Pd2
121596,Co1Hg1Pd2
121597,Co1Hg2Pd1
121598,Co1Hg2Pd1
121599,Co24Hg4Pd4
121600,Co2Hg1Pd1
121601,Co2Hg1Pd1
121602,Co1Hg1Pt1
121603,Co1Hg1Pt1
121604,Co1Hg1Pt1
121605,Co1Hg1Pt2
121606,Co1Hg1Pt2
121607,Co1Hg2Pt1
121608,Co1Hg2Pt1
121609,Co24Hg4Pt4
121610,Co2Hg1Pt1
121611,Co2Hg1Pt1
121612,Co1Hg1Re1
121613,Co1Hg1Re1
121614,Co1Hg1Re1
